Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,24766,471,4725,19570,664,20,524,1.9,19.08,9.97,20342,4424,21.75,Eastern Mediterranean
Albania,1521,36,1044,441,57,0,5,2.37,68.64,3.45,1246,275,22.07,Europe
Algeria,10919,767,7606,2546,109,7,186,7.02,69.66,10.08,10154,765,7.53,Africa
Andorra,853,51,781,21,0,0,0,5.98,91.56,6.53,852,1,0.12,Europe
Angola,140,6,61,73,2,0,0,4.29,43.57,9.84,91,49,53.85,Africa
Antigua and Barbuda,26,3,20,3,0,0,0,11.54,76.92,15.0,26,0,0.0,Americas
Argentina,31577,833,9564,21180,1282,18,481,2.64,30.29,8.71,22794,8783,38.53,Americas
Armenia,16667,269,6214,10184,663,5,133,1.61,37.28,4.33,13130,3537,26.94,Europe
Australia,7335,102,6851,382,15,0,13,1.39,93.4,1.49,7265,70,0.96,Western Pacific
Austria,17109,677,16059,373,31,0,47,3.96,93.86,4.22,16902,207,1.22,Europe
Azerbaijan,9957,119,5583,4255,387,4,274,1.2,56.07,2.13,7553,2404,31.83,Europe
Bahamas,103,11,68,24,0,0,0,10.68,66.02,16.18,103,0,0.0,Americas
Bahrain,18227,42,12818,5367,514,5,627,0.23,70.32,0.33,14763,3464,23.46,Eastern Mediterranean
Bangladesh,87520,1171,18730,67619,3141,32,902,1.34,21.4,6.25,65769,21751,33.07,South-East Asia
Barbados,96,7,83,6,0,0,0,7.29,86.46,8.43,92,4,4.35,Americas
Belarus,53973,308,30103,23562,732,5,992,0.57,55.77,1.02,48630,5343,10.99,Europe
Belgium,60029,9655,16589,33785,111,5,42,16.08,27.63,58.2,59226,803,1.36,Europe
Belize,20,2,16,2,0,0,0,10.0,80.0,12.5,19,1,5.26,Americas
Benin,442,6,228,208,30,0,6,1.36,51.58,2.63,261,181,69.35,Africa
Bhutan,66,0,21,45,0,0,0,0.0,31.82,0.0,59,7,11.86,South-East Asia
Bolivia,18459,611,3113,14735,617,26,345,3.31,16.86,19.63,13643,4816,35.3,Americas
Bosnia and Herzegovina,2893,163,2119,611,0,0,0,5.63,73.25,7.69,2606,287,11.01,Europe
Botswana,60,1,24,35,0,0,0,1.67,40.0,4.17,40,20,50.0,Africa
Brazil,867624,43332,469141,355151,17110,612,9705,4.99,54.07,9.24,691758,175866,25.42,Americas
Brunei,141,2,138,1,0,0,0,1.42,97.87,1.45,141,0,0.0,Western Pacific
Bulgaria,3290,174,1730,1386,24,2,7,5.29,52.58,10.06,2727,563,20.65,Europe
Burkina Faso,894,53,799,42,2,0,0,5.93,89.37,6.63,889,5,0.56,Africa
Burma,261,6,167,88,0,0,0,2.3,63.98,3.59,242,19,7.85,South-East Asia
Burundi,85,1,45,39,0,0,0,1.18,52.94,2.22,83,2,2.41,Africa
Cabo Verde,750,6,301,443,24,0,7,0.8,40.13,1.99,554,196,35.38,Africa
Cambodia,128,0,125,3,0,0,0,0.0,97.66,0.0,126,2,1.59,Western Pacific
Cameroon,8681,212,4836,3633,0,0,0,2.44,55.71,4.38,7908,773,9.77,Africa
Canada,100391,8217,0,92174,361,35,0,8.18,0.0,inf,97165,3226,3.32,Americas
Central African Republic,2057,7,363,1687,0,0,0,0.34,17.65,1.93,1634,423,25.89,Africa
Chad,850,73,720,57,2,1,2,8.59,84.71,10.14,837,13,1.55,Africa
Chile,174293,3323,143704,27266,6938,222,6408,1.91,82.45,2.31,134150,40143,29.92,Americas
China,84335,4638,79482,215,49,0,7,5.5,94.25,5.84,84191,144,0.17,Western Pacific
Colombia,48896,1670,19460,27766,1902,47,711,3.42,39.8,8.58,38149,10747,28.17,Americas
Comoros,176,2,114,60,0,0,0,1.14,64.77,1.75,141,35,24.82,Africa
Congo (Brazzaville),728,24,221,483,0,0,0,3.3,30.36,10.86,683,45,6.59,Africa
Congo (Kinshasa),4778,107,600,4071,54,1,5,2.24,12.56,17.83,4016,762,18.97,Africa
Costa Rica,1715,12,752,951,53,0,9,0.7,43.85,1.6,1318,397,30.12,Americas
Cote d'Ivoire,5084,45,2505,2534,236,0,108,0.89,49.27,1.8,3739,1345,35.97,Africa
